# ID,Conference,Nickname,Alias 0,Alias 1,...Alias n
1,America East,Great Danes,University at Albany SUNY,Albany,ALBNY
2,America East,Bearcats,Binghamton University,Binghamton,BINGH
3,America East,Hawks,University of Hartford,Hartford,HARTF
4,America East,Black Bears,University of Maine,Maine
5,America East,Retrievers,University of Maryland Baltimore County,UMBC
6,America East,River Hawks,University of Massachusetts Lowell,UMass Lowell,LOWELL
7,America East,Wildcats,University of New Hampshire,New Hampshire,NH
8,America East,Seawolves,Stony Brook University,Stony Brook,STONY
9,America East,Catamounts,University of Vermont,Vermont,VERMT
10,The American,Knights,University of Central Florida,UCF
11,The American,Bearcats,University of Cincinnati,Cincinnati,CINCY
12,The American,Huskies,University of Connecticut,UConn
13,The American,Pirates,East Carolina University,East Carolina,E.CAR
14,The American,Cougars,University of Houston,Houston,HOUST
15,The American,Tigers,University of Memphis,Memphis,MEMPH
16,The American,Bulls,University of South Florida,USF,South Florida,S.FLA
17,The American,Mustangs,Southern Methodist University,SMU
18,The American,Owls,Temple University,Temple,TEMPL
19,The American,Green Wave,Tulane University,Tulane
20,The American,Golden Hurricane,University of Tulsa,Tulsa
21,The American,Shockers,Wichita State University,Wichita State
22,ACC,Eagles,Boston College,BC
23,ACC,Tigers,Clemson University,Clemson,CLEMS
24,ACC,Blue Devils,Duke University,Duke
25,ACC,Seminoles,Florida State University,Florida State,FLAST
26,ACC,Yellow Jackets,Georgia Institute of Technology,Georgia Tech,GATEC
27,ACC,Cardinals,University of Louisville,Louisville,LOUIS
28,ACC,Hurricanes,University of Miami,Miami,Miami (Fla.)
29,ACC,Tar Heels,University of North Carolina at Chapel Hill,North Carolina,UNC
30,ACC,Wolfpack,North Carolina State University,NC State,NCST
31,ACC,Fighting Irish,University of Notre Dame,Notre Dame
32,ACC,Panthers,University of Pittsburgh,Pitt,Pittsburgh
33,ACC,Orange,Syracuse University,Syracuse,SYRA
34,ACC,Cavaliers,University of Virginia,Virginia,VIRGA
35,ACC,Hokies,Virginia Polytechnic Institute and State University,Virginia Tech,VATEC
36,ACC,Demon Deacons,Wake Forest University,Wake Forest,WAKE
37,ASUN,Eagles,Florida Gulf Coast University,Florida Gulf Coast,FGCU,FLAGC
38,ASUN,Dolphins,Jacksonville University,Jacksonville,JAXVL
39,ASUN,Owls,Kennesaw State University,Kennesaw State,Kennesaw St,KENNE
40,ASUN,Flames,Liberty University,Liberty,LIBRT
41,ASUN,Bisons,Lipscomb University,Lipscomb,LIPSC
42,ASUN,Highlanders,New Jersey Institute of Technology,NJIT,N.J. Tech
43,ASUN,Lions,University of North Alabama,North Alabama
44,ASUN,Ospreys,University of North Florida,North Florida,N.FLA
45,ASUN,Hatters,Stetson University,Stetson,STETS
46,A-10,Wildcats,Davidson College,Davidson,DAVID
47,A-10,Flyers,University of Dayton,Dayton
48,A-10,Dukes,Duquesne University,Duquesne,DUQU
49,A-10,Rams,Fordham University,Fordham,FORDM
50,A-10,Patriots,George Mason University,George Mason,GMASN
51,A-10,Colonials,George Washington University,George Washington,G Washington,GWASH,George Wash.
